_id,date,center_name,attendance_count
48828070,2025-10-01,Warrington Community Center,23
48828071,2025-10-01,Magee Community Center,12
48828072,2025-10-01,Jefferson Community Center,25
48828073,2025-10-01,West Penn Community Center,90
48828074,2025-09-30,Ammon Community Center,23
48828075,2025-09-30,Arlington Community Center,22
48828076,2025-09-30,Brookline Community Center,36
48828077,2025-09-30,Ormsby Community Center,7
48828078,2025-09-30,Phillips Community Center,50
48828079,2025-09-30,Paulson Community Center,12
48828080,2025-09-30,Warrington Community Center,22
48828081,2025-09-30,Jefferson Community Center,49
48828082,2025-09-30,Magee Community Center,15
48828083,2025-09-30,West Penn Community Center,44
48828084,2025-09-29,Ammon Community Center,20
48828085,2025-09-29,Brookline Community Center,23
48828086,2025-09-29,Arlington Community Center,7
48828087,2025-09-29,Ormsby Community Center,15
48828088,2025-09-29,Paulson Community Center,15
48828089,2025-09-29,Phillips Community Center,78
48828090,2025-09-29,Warrington Community Center,16
48828091,2025-09-29,Magee Community Center,42
48828092,2025-09-29,West Penn Community Center,71
48828093,2025-09-27,Ormsby Community Center,1
48828094,2025-09-27,Phillips Community Center,4
48828095,2025-09-27,Paulson Community Center,1
48828096,2025-09-27,Warrington Community Center,1
48828097,2025-09-27,Magee Community Center,7
48828098,2025-09-27,West Penn Community Center,45
48828099,2025-09-26,Ammon Community Center,10
48828100,2025-09-26,Arlington Community Center,22
48828101,2025-09-26,Brookline Community Center,26
48828102,2025-09-26,Ormsby Community Center,10
48828103,2025-09-26,Paulson Community Center,16
48828104,2025-09-26,Phillips Community Center,46
48828105,2025-09-26,Warrington Community Center,28
48828106,2025-09-26,Magee Community Center,28
48828107,2025-09-26,Jefferson Community Center,21
48828108,2025-09-26,West Penn Community Center,74
48828109,2025-09-25,Ammon Community Center,38
48828110,2025-09-25,Brookline Community Center,28
48828111,2025-09-25,Arlington Community Center,11
48828112,2025-09-25,Ormsby Community Center,8
48828113,2025-09-25,Phillips Community Center,44
48828114,2025-09-25,Paulson Community Center,1
48828115,2025-09-25,Warrington Community Center,29
48828116,2025-09-25,Jefferson Community Center,45
48828117,2025-09-25,Magee Community Center,30
48828118,2025-09-25,West Penn Community Center,117
48828119,2025-09-24,Ammon Community Center,35
48828120,2025-09-24,Arlington Community Center,75
48828121,2025-09-24,Brookline Community Center,25
48828122,2025-09-24,Ormsby Community Center,12
48828123,2025-09-24,Paulson Community Center,3
48828124,2025-09-24,Phillips Community Center,59
48828125,2025-09-24,Warrington Community Center,16
48828126,2025-09-24,Magee Community Center,19
48828127,2025-09-24,Jefferson Community Center,42
48828128,2025-09-24,West Penn Community Center,107
48828129,2025-09-23,Brookline Community Center,49
48828130,2025-09-23,Arlington Community Center,38
48828131,2025-09-23,Ormsby Community Center,24
48828132,2025-09-23,Phillips Community Center,34
48828133,2025-09-23,Paulson Community Center,7
48828134,2025-09-23,Warrington Community Center,17
48828135,2025-09-23,Jefferson Community Center,37
48828136,2025-09-23,Magee Community Center,14
48828137,2025-09-23,West Penn Community Center,62
48828138,2025-09-22,Arlington Community Center,12
48828139,2025-09-22,Brookline Community Center,18
48828140,2025-09-22,Ormsby Community Center,15
48828141,2025-09-22,Paulson Community Center,9
48828142,2025-09-22,Phillips Community Center,71
48828143,2025-09-22,Warrington Community Center,28
48828144,2025-09-22,Magee Community Center,24
48828145,2025-09-22,Jefferson Community Center,41
48828146,2025-09-22,West Penn Community Center,77
48828147,2025-09-20,Ormsby Community Center,2
48828148,2025-09-20,Phillips Community Center,5
48828149,2025-09-20,Warrington Community Center,12
48828150,2025-09-20,Magee Community Center,6
48828151,2025-09-20,West Penn Community Center,32
48828152,2025-09-19,Brookline Community Center,17
48828153,2025-09-19,Arlington Community Center,12
48828154,2025-09-19,Ormsby Community Center,4
48828155,2025-09-19,Phillips Community Center,24
48828156,2025-09-19,Paulson Community Center,10
48828157,2025-09-19,Warrington Community Center,32
48828158,2025-09-19,Magee Community Center,23
48828159,2025-09-19,Jefferson Community Center,58
48828160,2025-09-19,West Penn Community Center,43
48828161,2025-09-18,Arlington Community Center,13
48828162,2025-09-18,Brookline Community Center,34
48828163,2025-09-18,Ormsby Community Center,8
48828164,2025-09-18,Paulson Community Center,22
48828165,2025-09-18,Phillips Community Center,62
48828166,2025-09-18,Warrington Community Center,21
48828167,2025-09-18,Jefferson Community Center,51
48828168,2025-09-18,Magee Community Center,31
48828169,2025-09-18,West Penn Community Center,102
48828170,2025-09-17,Brookline Community Center,21
48828171,2025-09-17,Arlington Community Center,60
48828172,2025-09-17,Ormsby Community Center,11
48828173,2025-09-17,Phillips Community Center,52
48828174,2025-09-17,Paulson Community Center,14
48828175,2025-09-17,Warrington Community Center,23
48828176,2025-09-17,Magee Community Center,35
48828177,2025-09-17,Jefferson Community Center,49
48828178,2025-09-17,West Penn Community Center,74
48828179,2025-09-16,Arlington Community Center,24
48828180,2025-09-16,Brookline Community Center,39
48828181,2025-09-16,Ormsby Community Center,16
48828182,2025-09-16,Paulson Community Center,11
48828183,2025-09-16,Phillips Community Center,44
48828184,2025-09-16,Warrington Community Center,24
48828185,2025-09-16,Jefferson Community Center,54
48828186,2025-09-16,Magee Community Center,28
48828187,2025-09-16,West Penn Community Center,66
48828188,2025-09-15,Brookline Community Center,26
48828189,2025-09-15,Arlington Community Center,12
